title,description,priority,category,actionType,pulseImpact,isActive,triggerType,triggerValue,subCategory,id,created_date,updated_date,created_by_id,created_by,is_sample
"Memorize and Present Buyer's Advantage Program","Learn and incorporate top five advantages into buyer consultations","medium","build_business","skill_development","10","true","account_day_exact","14","","68b084de9e0eaf702538db14","2025-08-28T16:33:34.333000","2025-08-28T16:33:34.333000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Incorporate Forever Fans Program in Consultation Materials","Include program flyer in all consultation packets","medium","build_business","skill_development","4","true","account_day_exact","15","","68b084de9e0eaf702538db15","2025-08-28T16:33:34.349000","2025-08-28T16:33:34.349000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Complete Pillar 4 Checklist","Review UVP, pitch, objection scripts, client programs, Worry-Free Addendum, and negotiation techniques","medium","build_business","skill_development","0.1","true","account_day_exact","16","","68b084de9e0eaf702538db16","2025-08-28T16:33:34.356000","2025-08-28T16:33:34.356000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Organize and Segment Your Database Using CRM","Create a CRM tagging system to label each contact appropriately","medium","build_business","skill_development","8","true","account_day_exact","16","","68b084de9e0eaf702538db18","2025-08-28T16:33:34.363000","2025-08-28T16:33:34.363000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Add to Calendar to Hold Daily Team Meetings","Assign priorities, review progress, delegate using Big Rocks meeting structure","medium","build_business","skill_development","4","true","account_day_exact","17","","68b084de9e0eaf702538db19","2025-08-28T16:33:34.371000","2025-08-28T16:33:34.371000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Update Revenue Tracker","Record income and categorize expenses weekly","medium","pulse_based","skill_development","4","true","day_of_week","1","","68b084de9e0eaf702538db1a","2025-08-28T16:33:34.379000","2025-08-28T16:33:34.379000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Weekly Transaction Review","Dedicate time in meetings to review status of all active deals","medium","pulse_based","transaction_task","4","true","day_of_week","2","","68b084de9e0eaf702538db1b","2025-08-28T16:33:34.386000","2025-08-28T16:33:34.386000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Complete Pillar 5 Checklist","Review CRM organization, delegation, meetings, financial tracking, transaction management, automation","medium","build_business","skill_development","0.1","true","account_day_exact","17","","68b084de9e0eaf702538db1c","2025-08-28T16:33:34.392000","2025-08-28T16:33:34.392000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Identify and Categorize Referral Partners","Use Power Unit Referral Partner List template to identify and categorize top referral partners","medium","build_business","skill_development","8","true","account_day_exact","18","","68b084de9e0eaf702538db1d","2025-08-28T16:33:34.399000","2025-08-28T16:33:34.399000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Communicate Referral Expectations with Scripts","Role-play referral conversations to build confidence using provided scripts","medium","build_business","skill_development","8","true","account_day_exact","18","","68b084de9e0eaf702538db1e","2025-08-28T16:33:34.411000","2025-08-28T16:33:34.411000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Implement Referral Moments in Client Interactions","Recognize trigger phrases, respond with referral ask, set expectation early","medium","build_business","lead_generation","8","true","account_day_exact","19","","68b084de9e0eaf702538db1f","2025-08-28T16:33:34.427000","2025-08-28T16:33:34.427000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Implement 12-Month Client Gift Plan","Schedule and deliver monthly gifts to clients/partners using provided table","medium","build_business","lead_generation","8","true","account_day_exact","20","","68b084de9e0eaf702538db20","2025-08-28T16:33:34.434000","2025-08-28T16:33:34.434000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Identify High-Value Whale Clients and Deliver Premium Gifts","Create budget and identify high-value contacts for premium whale gifts","medium","build_business","client_follow_up","6","true","account_day_exact","20","","68b084de9e0eaf702538db21","2025-08-28T16:33:34.447000","2025-08-28T16:33:34.447000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Set Up Automated Email Campaigns for Referrals","Use CRM to set up automated emails for regular touches with past clients/partners","medium","build_business","lead_generation","8","true","account_day_exact","21","","68b084de9e0eaf702538db23","2025-08-28T16:33:34.455000","2025-08-28T16:33:34.455000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Complete Pillar 6 Checklist","Ensure you've identified partners, scheduled check-ins, follow-up, sent gifts, held events, practiced referral asks","medium","build_business","skill_development","0.1","true","account_day_exact","21","","68b084de9e0eaf702538db24","2025-08-28T16:33:34.469000","2025-08-28T16:33:34.469000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Review trending real estate podcasts and subscribe to one","Subscribe to several trending real estate podcasts and select one to subscribe for ongoing industry insights and strategies","medium","build_business","skill_development","5","true","account_day_exact","22","","68b084de9e0eaf702538db25","2025-08-28T16:33:34.487000","2025-08-28T16:33:34.487000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Film a video introducing yourself for Instagram","Record a short video sharing who you are, what problem do your ideal clients have, and how you help them solve it","medium","build_business","social_media","3","true","account_day_exact","23","","68b084de9e0eaf702538db26","2025-08-28T16:33:34.542000","2025-08-28T16:33:34.542000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Attend a virtual industry webinar or workshop","Register for and actively participate in an online real estate webinar to learn new trends or tools","medium","build_business","market_research","5","true","account_day_exact","16","","68b084de9e0eaf702538db27","2025-08-28T16:33:34.556000","2025-08-28T16:33:34.556000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Research last month’s sales trends in your area","Review local MLS and market reports to identify patterns, price shifts, and active neighborhoods","medium","build_business","market_research","4","true","account_day_exact","23","","68b084de9e0eaf702538db28","2025-08-28T16:33:34.573000","2025-08-28T16:33:34.573000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Preview 2 homes on the market","Schedule and tour two available listings to stay updated on current inventory and features.","medium","social_media","market_research","4","true","day_of_week","4","","68b084de9e0eaf702538db29","2025-08-28T16:33:34.590000","2025-08-28T16:33:34.590000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Post a poll about home-buying trends on LinkedIn.","Create a LinkedIn poll asking your network about their top home-buying priorities or challenges.","medium","social_media","social_media","3","true","day_of_week","5","","68b084de9e0eaf702538db2a","2025-08-28T16:33:34.608000","2025-08-28T16:33:34.608000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Touch base with mortgage partners for new rates","Reach out to lending partners to get updates on mortgage rate changes and special programs.","medium","power_hour","market_research","4","true","day_of_week","6","","68b084de9e0eaf702538db2b","2025-08-28T16:33:34.624000","2025-08-28T16:33:34.624000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Scout a local event for networking opportunities.","Attend a community event or professional mixer to meet new contacts for potential referrals","medium","initiative","networking","8","true","account_day_exact","24","","68b084de9e0eaf702538db2c","2025-08-28T16:33:34.666000","2025-08-28T16:33:34.666000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Analyze rental market pricing charts for your county","Examine current rental data and pricing trends to advise investors and renters accurately","medium","build_business","market_research","4","true","account_day_exact","30","","68b084de9e0eaf702538db2d","2025-08-28T16:33:34.817000","2025-08-28T16:33:34.817000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Update Google My Business profile info","Log in to Google My Business and refresh your contact information, photos, and reviews.","medium","build_business","lead_generation","8","true","account_day_exact","24","","68b084de9e0eaf702538db30","2025-08-28T16:33:34.850000","2025-08-28T16:33:34.850000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Join a local Chamber of Commerce meeting","Attend a Chamber gathering to forge relationships with local business leaders and professionals.","medium","build_business","networking","7","true","account_day_exact","25","","68b084de9e0eaf702538db31","2025-08-28T16:33:34.883000","2025-08-28T16:33:34.883000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Tour a newly built development","Schedule an appointment to meet with a new home sales representative for a community in your market","medium","build_business","market_research","4","true","account_day_exact","25","","68b084de9e0eaf702538db32","2025-08-28T16:33:34.917000","2025-08-28T16:33:34.917000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Write a market update blog post","Draft and publish a blog post summarizing the latest local market data and insights.","medium","build_business","lead_generation","5","true","account_day_exact","26","","68b084de9e0eaf702538db34","2025-08-28T16:33:34.940000","2025-08-28T16:33:34.940000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Host a live Q&A about homebuying","Go live on social media to answer audience questions about buying a home in your market","medium","build_business","lead_generation","8","true","account_day_exact","30","","68b084de9e0eaf702538db35","2025-08-28T16:33:34.958000","2025-08-28T16:33:34.958000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Update email signature with latest branding","Edit your email signature to include updated contact info, branding colors, and links","medium","build_business","lead_generation","8","true","account_day_exact","27","","68b084de9e0eaf702538db36","2025-08-28T16:33:34.971000","2025-08-28T16:33:34.971000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Attend a mortgage/finance training.","Participate in a finance-related workshop or class to expand your understanding of lending products","medium","build_business","skill_development","5","true","account_day_exact","28","","68b084de9e0eaf702538db37","2025-08-28T16:33:34.991000","2025-08-28T16:33:34.991000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Join a Facebook group for local professionals.","Search for and join a business-oriented Facebook group in your area to connect and share insights.","medium","build_business","networking","4","true","account_day_exact","29","","68b084df9e0eaf702538db38","2025-08-28T16:33:35.001000","2025-08-28T16:33:35.001000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Inspirational Post","Kickstart the week with a positive, motivational message that resonates with your audience's goals.","medium","social_media","social_media","3","true","day_of_week","1","","68b084df9e0eaf702538db39","2025-08-28T16:33:35.014000","2025-09-08T14:57:57.486000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Sunday Brunch Spot","Share a popular local brunch spot from the weekend to showcase community involvement and lifestyle.","medium","social_media","social_media","3","true","day_of_week","1","","68b084df9e0eaf702538db3a","2025-08-28T16:33:35.032000","2025-09-08T14:58:27.302000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Market Update","Establish your expertise first thing Sunday with a key statistic or trend about the local market.","medium","social_media","social_media","5","true","day_of_week","1","","68b084df9e0eaf702538db3b","2025-08-28T16:33:35.053000","2025-09-08T14:58:59.578000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Client Need","Turn your network into your source of leads by clearly stating who your ideal client is and who you can help.","medium","social_media","social_media","3","true","day_of_week","2","","68b084df9e0eaf702538db3d","2025-08-28T16:33:35.064000","2025-09-08T15:03:01.889000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Relocation","Position yourself as the expert for newcomers by highlighting your ability to help people moving to the area.","medium","social_media","social_media","3","true","day_of_week","2","","68b084df9e0eaf702538db3f","2025-08-28T16:33:35.074000","2025-09-08T15:51:19.741000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Apartment Lease","Tap into the rental market and future buyer pipeline by showcasing 1 available apartment rental.","medium","social_media","social_media","3","true","day_of_week","2","","68b084df9e0eaf702538db40","2025-08-28T16:33:35.092000","2025-09-08T15:51:53.069000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Listing of the Day","Generate excitement and buyer interest for en active listing from your brokerage.","medium","social_media","social_media","4","true","day_of_week","3","","68b084df9e0eaf702538db41","2025-08-28T16:33:35.101000","2025-09-08T15:52:38.683000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Website Promotion","Post a link to your website to drive traffic and boost your search engine visibility. ","medium","social_media","social_media","3","true","day_of_week","3","","68b084df9e0eaf702538db42","2025-08-28T16:33:35.109000","2025-09-08T15:54:36.431000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"All About YOU","Build know-like-trust by sharing a personal story, passion, or what drives you as an agent.","medium","social_media","social_media","3","true","day_of_week","3","","68b084df9e0eaf702538db43","2025-08-28T16:33:35.117000","2025-09-08T15:54:54.378000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Client Feature","Build social proof and celebrate a client's success with a testimonial or closing story. Use pictures or video if possible. ","medium","social_media","social_media","3","true","day_of_week","4","","68b084df9e0eaf702538db44","2025-08-28T16:33:35.148000","2025-09-08T15:56:18.131000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Open House Promotion","Promote a weekend open house (if you're hosting one) or if one is being held at one of your listings. ","medium","social_media","social_media","3","true","day_of_week","4","","68b084df9e0eaf702538db45","2025-08-28T16:33:35.181000","2025-09-08T15:56:58.042000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Tour Video","Post a property tour video to generate online engagement and buyer interest.","medium","social_media","social_media","3","true","day_of_week","4","","68b084df9e0eaf702538db48","2025-08-28T16:33:35.238000","2025-09-08T16:19:23.406000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"City Weekend Event","Provide value as a community resource by sharing a local event happening over the weekend.","medium","social_media","social_media","3","true","day_of_week","5","","68b084df9e0eaf702538db49","2025-08-28T16:33:35.261000","2025-09-08T16:19:50.661000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Throwback Thursday","Share a nostalgic photo or story from your past","medium","social_media","social_media","3","true","day_of_week","5","","68b084df9e0eaf702538db4b","2025-08-28T16:33:35.281000","2025-09-08T16:20:16.128000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Industry News","Demonstrate you're a well-informed professional by sharing some relevant industry news.","medium","social_media","social_media","3","true","day_of_week","5","","68b084df9e0eaf702538db4c","2025-08-28T16:33:35.293000","2025-09-08T16:20:53.419000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Referral/Thank You Post","Publicly appreciate a past client or partner, which encourages future referrals.","medium","social_media","social_media","8","true","day_of_week","6","","68b084df9e0eaf702538db4d","2025-08-28T16:33:35.326000","2025-09-08T16:21:37.964000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Listing of the Day","Re-engage weekend scrollers with by highlighting a listing from your inventory or your brokerage's.","medium","social_media","social_media","4","true","day_of_week","6","","68b084df9e0eaf702538db4e","2025-08-28T16:33:35.337000","2025-09-08T16:22:16.796000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Open House Reminder","Post a last-call reminder for your open house happening that day.","medium","social_media","social_media","3","true","day_of_week","6","","68b084df9e0eaf702538db4f","2025-08-28T16:33:35.355000","2025-09-08T16:22:42.556000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Listing of the Day","Feature a ""dream home"" or standout property to capture weekend buyer attention.","medium","social_media","social_media","4","true","day_of_week","7","","68b084df9e0eaf702538db50","2025-08-28T16:33:35.382000","2025-09-08T16:22:58.115000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Your City Fun Fact","Share a piece of local trivia to reinforce your love and knowledge of the area.","medium","social_media","social_media","3","true","day_of_week","7","","68b084df9e0eaf702538db51","2025-08-28T16:33:35.395000","2025-09-08T16:23:18.508000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Event Photo","Document your community involvement by sharing a photo from a local event you attended.","medium","social_media","social_media","3","true","day_of_week","7","","68b084df9e0eaf702538db52","2025-08-28T16:33:35.406000","2025-09-08T16:23:32.333000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Share Someone Else's Post","Show that you are active and engaged by sharing someone else's post that your audience would like. ","medium","social_media","social_media","3","true","day_of_week","7","","68b084df9e0eaf702538db53","2025-08-28T16:33:35.414000","2025-09-08T16:24:24.919000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Thanks For Your Support","End the week on a grateful note by thanking your followers for their engagement and support.","medium","social_media","social_media","3","true","day_of_week","5","","68b084df9e0eaf702538db54","2025-08-28T16:33:35.425000","2025-09-08T16:24:39.412000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Update P&L Statements Monthly","Use P&L statement template to find areas for improvement and set financial goals","high","initiative","skill_development","6","true","initiative","any","monthly","68b084df9e0eaf702538db55","2025-08-28T16:33:35.435000","2025-08-28T16:33:35.435000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Develop Quarterly Budget","Create quarterly budget using provided templates","high","initiative","skill_development","6","true","initiative","any","quarterly","68b084df9e0eaf702538db56","2025-08-28T16:33:35.454000","2025-08-28T16:33:35.454000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Audit and Automate Routine Back Office Tasks","Identify repetitive tasks to automate for efficiency","high","initiative","skill_development","4","true","initiative","any","monthly","68b084df9e0eaf702538db57","2025-08-28T16:33:35.472000","2025-08-28T16:33:35.472000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Host an Educational Seminar","No description provided","high","initiative","skill_development","5","true","initiative","any","quarterly","68b084df9e0eaf702538db58","2025-08-28T16:33:35.484000","2025-08-28T16:33:35.484000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Host a Client Appreciation Event","No description provided","high","initiative","skill_development","7","true","initiative","any","annually","68b084df9e0eaf702538db59","2025-08-28T16:33:35.520000","2025-08-28T16:33:35.520000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Attend a Charity Event","No description provided","high","initiative","skill_development","7","true","initiative","any","semi-annually","68b084df9e0eaf702538db5b","2025-08-28T16:33:35.537000","2025-08-28T16:33:35.537000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Host a Networking Happy Hour","No description provided","high","initiative","skill_development","8","true","initiative","any","monthly","68b084df9e0eaf702538db5d","2025-08-28T16:33:35.627000","2025-08-28T16:33:35.627000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Send your Monthly Small Gift","No description provided","high","initiative","skill_development","7","true","initiative","any","monthly","68b084df9e0eaf702538db5f","2025-08-28T16:33:35.650000","2025-08-28T16:33:35.650000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Send your Letter of the Heart","No description provided","high","initiative","skill_development","7","true","initiative","any","monthly","68b084df9e0eaf702538db61","2025-08-28T16:33:35.673000","2025-08-28T16:33:35.673000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Send your Evidence of Success Marketing Piece","No description provided","high","initiative","skill_development","7","true","initiative","any","monthly","68b084df9e0eaf702538db63","2025-08-28T16:33:35.731000","2025-08-28T16:33:35.731000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Mail Out Your Monthly Referral Rewards","No description provided","high","initiative","skill_development","8","true","initiative","any","monthly","68b084df9e0eaf702538db66","2025-08-28T16:33:35.812000","2025-08-28T16:33:35.812000","68a795970202102129f19984","officeofcjm@gmail.com","false"
"Mail Out Your Monthly Birthday Cards","No description provided","high","initiative","skill_development","7","true","initiative","any","monthly","68b084df9e0eaf702538db69","2025-08-28T16:33:35.940000","2025-08-28T16:33:35.940000","68a795970202102129f19984","officeofcjm@gmail.com","false"
